Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"226773790451",0743627-5 | Cessna 172RG | Cap Hub nose,,N6378R--0743627-5--H5M01Q,"1","FIXED_PRICE","USD",54.15,,,54.15,"0","1","","May-24-25 16:59:42 PDT","Mar-24-26 16:59:42 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226773790481",2413019-1 | Cessna 172RG | Shock Panel Assy,,N6378R--2413019-1--LWYIGB,"1","FIXED_PRICE","USD",129.2,,,129.2,"0","","","May-24-25 16:59:45 PDT","Mar-24-26 16:59:45 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226773790496",2452019-1 | Cessna 172RG | Ramp Cowl Flap L/H,,N6378R--2452019-1--KWIMUF,"1","FIXED_PRICE","USD",161.5,,,161.5,"0","","","May-24-25 16:59:49 PDT","Mar-24-26 16:59:49 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226773790520",2413005-1 | Cessna 172RG | Nose Gear Steering Bracket Assy,,N6378R--2413005-1--O8TDCE,"1","FIXED_PRICE","USD",407.55,,,407.55,"0","","","May-24-25 16:59:52 PDT","Mar-24-26 16:59:52 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226773790524",0813150-75 | Cessna 172RG | Handle Assy Parking Brake,,N6378R--0813150-75--O3HKH4,"1","FIXED_PRICE","USD",268.85,,,268.85,"0","2","","May-24-25 16:59:54 PDT","Mar-24-26 16:59:54 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226773790547",2452016-1 | Cessna 172RG | Cowl Flap Assy L/H,,N6378R--2452016-1--TSL25V,"1","FIXED_PRICE","USD",150.1,,,150.1,"0","","","May-24-25 16:59:57 PDT","Mar-24-26 16:59:57 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226773802675",0517012-7 | Cessna 172RG | CABIN DOOR LATCH ASSEMBLY LH,,N6378R--0517012-7--JPEHXM,"1","FIXED_PRICE","USD",429.4,,,429.4,"0","","","May-24-25 17:05:02 PDT","Mar-24-26 17:05:02 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226773811713",2416001-200 | Cessna 172RG | GEAR ASSEMBLY FUEL SELECTOR,,N6378R--2416001-200--XYW1AO,"1","FIXED_PRICE","USD",257.45,,,257.45,"0","","","May-24-25 17:07:52 PDT","Mar-24-26 17:07:52 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226774742903",68759 | Lycoming O-540 | PIPER PA-24-250 | Oil Drain Tube Cylinder 1,,N7531P--68759--QVJDUI,"1","FIXED_PRICE","USD",40.0,,,40.0,"0","1","","May-25-25 04:24:52 PDT","Mar-25-26 04:24:52 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
"226774751881",72152 / 71611 / 71610 | Lycoming O-540 | Intercylinder Baffle w / retainer Hook,,N7531P--72152-/-71611-/-71610--CBRDX0,"1","FIXED_PRICE","USD",153.0,,,153.0,"0","","","May-25-25 04:37:58 PDT","Mar-25-26 04:37:58 PDT","Parts","26439","","","Used","","","","","","US","Does Not Apply","",""
