Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,12405 Northwest 39th Avenue,X60
ka-25-king-radio-beechcraft-35-33-isolation-amplifier,KA-25 | King Radio | Beechcraft 35-33 | Isolation Amplifier,Title,Default Title,,,,,N610V--KA-25--OXXGB4,,,1,not stocked
169-380032-1-beechcraft-a23a-musketeer-custom-iii-cabin-door-stop-rh,169-380032-1 | Beechcraft A23A Musketeer Custom III | CABIN DOOR STOP RH,Title,Default Title,,,,,N16TH--169-380032-1--U9LJNTXSTYFC36HHLANYPG,,,1,not stocked
1040-b-beechcraft-a23a-musketeer-custom-iii-decker-door-latch,1040-B | Beechcraft A23A Musketeer Custom III | DECKER DOOR LATCH,Title,Default Title,,,,,N16TH--1040-B--ORJKRP0NMAAGFBYL8TLWOW,,,1,not stocked
1040bch-beechcraft-a23a-musketeer-custom-iii-cabin-door-latch-interior-handle,1040BCH | Beechcraft A23A Musketeer Custom III | CABIN DOOR LATCH INTERIOR HANDLE,Title,Default Title,,,,,N16TH--1040BCH--JADAVHFZ6JZIXMYZNGBMOG,,,1,not stocked
169-420010-651-beechcraft-a23a-musketeer-custom-iii-structure-cabin-door-rh,169-420010-651 | Beechcraft A23A Musketeer Custom III | STRUCTURE CABIN DOOR RH,Title,Default Title,,,,,N16TH--169-420010-651--J1GDTLDCI6DCMJ6ECTCJ7O,,,1,not stocked
169-110000-608-beechcraft-a23a-musketeer-custom-iii-wing-tip-light-assembly-rh-red,169-110000-608 | Beechcraft A23A Musketeer Custom III | WING TIP LIGHT ASSEMBLY RH (RED),Title,Default Title,,,,,N16TH--169-110000-608--4A2YYIJMUTBXMXC10N0LYR,,,1,not stocked
169-110000-607-beechcraft-a23a-musketeer-custom-iii-wing-tip-light-assembly-lh-green,169-110000-607 | Beechcraft A23A Musketeer Custom III | WING TIP LIGHT ASSEMBLY LH GREEN,Title,Default Title,,,,,N16TH--169-110000-607--LNSGJHB4UHYEQRFAVBHNAG,,,1,not stocked
169-110000-285-beechcraft-a23a-musketeer-custom-iii-wingtip-rh,169-110000-285 | Beechcraft A23A Musketeer Custom III | WINGTIP RH,Title,Default Title,,,,,N16TH--169-110000-285--7FVFLS42OOUSBLZUBMGBRB,,,1,not stocked
169-810000-608-beechcraft-a23a-musketeer-custom-iii-main-gear-fork-with-axle-rh,169-810000-608 | Beechcraft A23A Musketeer Custom III | MAIN GEAR FORK WITH AXLE RH,Title,Default Title,,,,,N16TH--169-810000-608--F9YMPV4DQIYLWDGZ04SGHS,,,1,not stocked
169-810000-659-beechcraft-a23a-musketeer-custom-iii-main-landing-gear-assembly-lh,169-810000-659 | Beechcraft A23A Musketeer Custom III | MAIN LANDING GEAR ASSEMBLY LH,Title,Default Title,,,,,N16TH--169-810000-659--ZJSNRR5XVIB0MB3EPOPQBU,,,1,not stocked
169-110000-247-beechcraft-a23a-musketeer-custom-iii-landing-light-window-lh-rh-the-plastic-is-crack-see-photos,169-110000-247 | Beechcraft A23A Musketeer Custom III | LANDING LIGHT WINDOW LH / RH THE PLASTIC IS CRACK SEE PHOTOS,Title,Default Title,,,,,N16TH--169-110000-247--ICQD9HAJ1OZKO1JNJTZGYY,,,1,not stocked
33-534031-31-beechcraft-f33a-side-seat-track-rear-indboard-or-outboard,33-534031-31 | Beechcraft F33A | SIDE SEAT TRACK / REAR INDBOARD OR OUTBOARD,Title,Default Title,,,,,N17747--33-534031-31--F8VGCHFG9V8LB2FZ4K3TRR,,,1,not stocked
33-534031-31-beechcraft-f33a-side-seat-track-rear-indboard-or-outboard-1,33-534031-31 | Beechcraft F33A | SIDE SEAT TRACK / REAR INDBOARD OR OUTBOARD,Title,Default Title,,,,,N17747--33-534031-31--YHKIUTEO9CYBZAIPMHU1WA,,,1,not stocked
33-534031-31-beechcraft-f33a-side-seat-track-rear-indboard-or-outboard-2,33-534031-31 | Beechcraft F33A | SIDE SEAT TRACK / REAR INDBOARD OR OUTBOARD,Title,Default Title,,,,,N17747--33-534031-31--PBQ1ZMSPJLE2GIT3QU0BVE,,,1,not stocked
33-530024-33-530041-beechcraft-f33a-f33a-leather-four-seat-and-carpet-see-photos-for-details,"33-530024 / 33-530041 | Beechcraft F33A | F33A LEATHER FOUR SEAT AND CARPET ""SEE PHOTOS FOR DETAILS"":",Title,Default Title,,,,,N17747--33-530024--QT9YACPVFPRQ6DWVUTAVQF,,,1,not stocked
33-630000-43-beechcraft-f33a-rudder-pedal-plate,33-630000-43 | Beechcraft F33A | RUDDER PEDAL PLATE,Title,Default Title,,,,,N17747--33-630000-43--0UQZGFVBUOA9VUMQPEORFA,,,1,not stocked
35-815055-165-beechcraft-f33a-main-gear-door-inboard-rh-has-scratches-dents-see-pics,35-815055-165 | Beechcraft F33A | MAIN GEAR DOOR INBOARD RH HAS  SCRATCHES & DENTS SEE PICS,Title,Default Title,,,,,N17747--35-815055-165--PGC519SKJKX8R29TWMCW5M,,,1,not stocked
65-27-beechcraft-f33a-cleveland-torque-plate-price-per-each,65-27 | Beechcraft F33A | CLEVELAND TORQUE PLATE PRICE PER EACH,Title,Default Title,,,,,N17747--65-27--RGAZYNNPLNU2FBVT0YYMNJ,,,2,not stocked
nas505-5j-beechcraft-f33a-bearing-up-lock-main-gear,NAS505-5J | Beechcraft F33A | BEARING UP LOCK MAIN GEAR,Title,Default Title,,,,,N17747--NAS505-5J--RIWPRHTF41HCXHTABJQRTO,,,1,not stocked
35-815251-3-beechcraft-f33a-main-gear-brace-1,35-815251-3 | Beechcraft F33A | MAIN GEAR BRACE,Title,Default Title,,,,,N17747--35-815251-3--ZCMU5VA472JY2XIDQGBWZ1,,,1,not stocked
35-815251-3-beechcraft-f33a-main-gear-brace-2,35-815251-3 | Beechcraft F33A | MAIN GEAR BRACE,Title,Default Title,,,,,N17747--35-815251-3--KMGJKTWNJP1EFL6AXWEP0K,,,1,not stocked
169-410011-601-beechcraft-a23a-musketeer-custom-iii-baggage-door-with-hinge,169-410011-601 | Beechcraft A23A Musketeer Custom III | BAGGAGE DOOR WITH HINGE,Title,Default Title,,,,,N16TH--169-410011-601--2OJRPH70AEX5QAZD6MS2QQ,,,1,not stocked
o-470-scr-continental-cessna-182g-aircraft-engine-prop-strike,O-470-ScR | Continental | Cessna 182G | Aircraft Engine (Prop-Strike),Title,Default Title,,,,,N3170S--O-470-SCR--AOBZYH,,,1,not stocked
0531001-38-cessna-172-rudder-assembly,0531001-38 | Cessna 172 | Rudder Assembly,Title,Default Title,,,,,N6340E--0531001-38--NSIJFO,,,1,not stocked
0593000-1-0532001-4-cessna-172-elevator-assembly-with-trim-tab-rh,"0593000-1, 0532001-4 | Cessna 172 | Elevator Assembly with Trim Tab - RH",Title,Default Title,,,,,"N6340E--0593000-1,-0532001-4--K3SIDZ",,,1,not stocked
0532001-3-cessna-172-elevator-assembly-lh,0532001-3 | Cessna 172 | Elevator Assembly LH,Title,Default Title,,,,,N6340E--0532001-3--RKFQNB,,,1,not stocked
0532001-200-cessna-172-horizontal-stabilizer-assembly,0532001-200 | Cessna 172 | Horizontal Stabilizer Assembly,Title,Default Title,,,,,N6340E--0532001-200--J7X2VC,,,1,not stocked
0523565-200-cessna-172-wing-tip-assembly-rh,0523565-200 | Cessna 172 | Wing Tip Assembly RH,Title,Default Title,,,,,N6340E--0523565-200--EGNJU0,,,1,not stocked
0711101-33-cessna-172f-baggage-door-structure,0711101-33 | Cessna 172F | Baggage Door Structure,Title,Default Title,,,,,N8306U--0711101-33--IESCCJ,,,1,not stocked
99482-000-piper-pa28-140-muffler-assembly,99482-000 | Piper PA28-140 | Muffler Assembly,Title,Default Title,,,,,N7470R--99482-000--P9JPY0,,,1,not stocked
100547p-piper-pa32rt-300-spinner-cuff,100547P | Piper PA32RT-300 | Spinner Cuff,Title,Default Title,,,,,N9519C--100547P--YUVOOF,,,1,not stocked
100547-p-piper-pa32rt-300-spinner-cuff,100547-P | Piper PA32RT-300 | Spinner Cuff,Title,Default Title,,,,,N9519C--100547-P--XVVFMA,,,1,not stocked
0523901-15-cessna-182g-flap-assembly-lh,0523901-15 | Cessna 182G | Flap Assembly LH,Title,Default Title,,,,,N3170S--0523901-15--F2GUSH,,,1,not stocked
0523901-16-cessna-182g-flap-assembly-rh,0523901-16 | Cessna 182G | Flap Assembly RH,Title,Default Title,,,,,N3170S--0523901-16--HVOTHJ,,,1,not stocked
s-1158-2-1-cessna-cessna-182g-rocker-switch,S-1158-2-1 | Cessna | Cessna 182G | Rocker Switch,Title,Default Title,,,,,N3170S--S-1158-2-1--6JGWET,,,2,not stocked
0741601-1-cessna-182g-main-gear-spring-assembly-lh,0741601-1 | Cessna 182G | Main Gear Spring Assembly LH,Title,Default Title,,,,,N3170S--0741601-1--0USHGF,,,1,not stocked
0523800-16-cessna-182g-aileron-assy-lh,0523800-16 | Cessna 182G | Aileron Assy LH,Title,Default Title,,,,,N3170S--0523800-16--KNHKCI,,,1,not stocked
150-safe-flight-instruments-cessna-182g-lift-detector-assembly,150 | Safe Flight Instruments | Cessna 182G | Lift Detector Assembly,Title,Default Title,,,,,N3170S--150--Q1X3YJ,,,1,not stocked
0700678-7-cessna-182g-aft-split-back-seat-assembly,0700678-7 | Cessna 182G | Aft Split-Back Seat Assembly,Title,Default Title,,,,,N3170S--0700678-7--AC2SCU,,,1,not stocked
0700702-15-434-cessna-182g-full-leather-panels-set-with-carpet,0700702-15-434 | Cessna 182G | Full Leather Panels set with carpet,Title,Default Title,,,,,N3170S--0700702-15-434--E10QE8,,,1,not stocked
ebc-102a-emergency-beacon-corp-beechcraft-35-33-emergency-locator-beacon,EBC-102A | Emergency Beacon Corp | Beechcraft 35-33 | Emergency Locator Beacon,Title,Default Title,,,,,N610V--EBC-102A--7YF0NC,,,1,not stocked
22-262-017-garwin-beechcraft-35-33-manifold-pressure-gauge-and-fuel-flow-indicator,22-262-017 | Garwin | Beechcraft 35-33 | Manifold Pressure Gauge and Fuel Flow Indicator,Title,Default Title,,,,,N610V--22-262-017--R5NFLC,,,1,not stocked
d1-112-5023-mitchell-beechcraft-35-33-rpm-recording-tachometer,D1-112-5023 | Mitchell | Beechcraft 35-33 | RPM Recording Tachometer,Title,Default Title,,,,,N610V--D1-112-5023--HH77NS,,,1,not stocked
35-410462-17-beechcraft-a23a-musketeer-custom-iii-battery-box-lid,35-410462-17 | Beechcraft A23A Musketeer Custom III | BATTERY BOX LID,Title,Default Title,,,,,N16TH--35-410462-17--MJUJ5OKINYRCQ77PFEO2JL,,,1,not stocked
075-07800-cleveland-beechcraft-a23a-musketeer-custom-iii-torque-plate-assembly,075-07800 | Cleveland | Beechcraft A23A Musketeer Custom III | TORQUE PLATE ASSEMBLY,Title,Default Title,,,,,N16TH--075-07800--W7DFARHQDQQKXGU6HTECFN,,,1,not stocked
169-950012-41-continental-io-346-a-beechcraft-a23a-musketeer-custom-iii-muffler-shroud-assy,169-950012-41 | Continental IO-346-A | Beechcraft A23A Musketeer Custom III | MUFFLER SHROUD ASSY,Title,Default Title,,,,,N16TH--169-950012-41--LN49BBJNYJHYBRKYC1G2XY,,,1,not stocked
169-910028-5-beechcraft-a23a-musketeer-custom-iii-defrost-valve-weld,169-910028-5 | Beechcraft A23A Musketeer Custom III | DEFROST VALVE WELD,Title,Default Title,,,,,N16TH--169-910028-5--UF9K0KZHCI9Q26RZOAEULY,,,1,not stocked
169-554006-17-beechcraft-a23a-musketeer-custom-iii-outlet-lower,169-554006-17 | Beechcraft A23A Musketeer Custom III | OUTLET LOWER,Title,Default Title,,,,,N16TH--169-554006-17--XKL1JFICQLHAMB7AWFPARG,,,1,not stocked
69-554006-9-beechcraft-a23a-musketeer-custom-iii-fresh-air-feed-plenum,69-554006-9 | Beechcraft A23A Musketeer Custom III | FRESH AIR FEED PLENUM,Title,Default Title,,,,,N16TH--69-554006-9--SKGJ7PAGZLGZIBY90O5N6I,,,1,not stocked
69-554006-9-beechcraft-a23a-musketeer-custom-iii-fresh-air-feed-plenum-1,69-554006-9 | Beechcraft A23A Musketeer Custom III | FRESH AIR FEED PLENUM,Title,Default Title,,,,,N16TH--69-554006-9--9EOZEBJTQNGVWTFLIRFYEH,,,1,not stocked
169-534026-2-b-2120-501-beechcraft-a23a-musketeer-custom-iii-outlet-rh-escutcheon-w-wemac-vent,"169-534026-2, B-2120-501 | Beechcraft A23A Musketeer Custom III | OUTLET RH ESCUTCHEON W/ WEMAC VENT",Title,Default Title,,,,,N16TH--169-534026-2--YLB0UC6TO0UNEOG0X0XHER,,,1,not stocked
169-554006-7-beechcraft-a23a-musketeer-custom-iii-plenum-inlet-rh,169-554006-7 | Beechcraft A23A Musketeer Custom III | PLENUM INLET RH,Title,Default Title,,,,,N16TH--169-554006-7--TA28OG4TNEM7UOGMMENLDJ,,,1,not stocked
169-554006-5-beechcraft-a23a-musketeer-custom-iii-plenum-inlet-lh,169-554006-5 | Beechcraft A23A Musketeer Custom III | PLENUM INLET LH,Title,Default Title,,,,,N16TH--169-554006-5--WYHWBZZNN44EXAGYWGKFLG,,,1,not stocked
169-910027-27-beechcraft-a23a-musketeer-custom-iii-cabin-heat-valve-weld-assembly,169-910027-27 | Beechcraft A23A Musketeer Custom III | CABIN HEAT VALVE WELD ASSEMBLY,Title,Default Title,,,,,N16TH--169-910027-27--KSSWCLGR8V2PAALEJCU3GE,,,1,not stocked
an78-57s-beechcraft-a23a-musketeer-custom-iii-propeller-mounting-bolt-set-no-prop-struck,AN78-57S | Beechcraft A23A Musketeer Custom III | PROPELLER MOUNTING BOLT SET (NO PROP STRUCK),Title,Default Title,,,,,N16TH--AN78-57S--JM7T5OGHSHBCDNSOXLO8KU,,,1,not stocked
6409513-beechcraft-a23a-musketeer-custom-iii-tachometer-shaft,6409513 | Beechcraft A23A Musketeer Custom III | TACHOMETER SHAFT,Title,Default Title,,,,,N16TH--6409513--23ZHGXZLODPEAPW2YVLZAN,,,1,not stocked
169-380005-1-beechcraft-a23a-musketeer-custom-iii-cabin-air-control-cable-length-45-1-2,169-380005-1 | Beechcraft A23A Musketeer Custom III | CABIN AIR CONTROL CABLE (LENGTH: 45-1/2”),Title,Default Title,,,,,N16TH--169-380005-1--SALKZEQT20QASQ5UYSMQU3,,,1,not stocked
35-380055-1-beechcraft-a23a-musketeer-custom-iii-rheostat-w-knob,35-380055-1 | Beechcraft A23A Musketeer Custom III | RHEOSTAT W KNOB,Title,Default Title,,,,,N16TH--35-380055-1--RJXR614KWPP0LGUJBC0LNP,,,1,not stocked
35-380019-1-rochester-beechcraft-a23a-musketeer-custom-iii-free-air-temperature-indicator,35-380019-1 | Rochester | Beechcraft A23A Musketeer Custom III | FREE AIR TEMPERATURE INDICATOR,Title,Default Title,,,,,N16TH--35-380019-1--AVSB0XH63ZB3QAFYALLGHC,,,1,not stocked
169-380005-5-beechcraft-a23a-musketeer-custom-iii-cabin-heat-control-cable-47-1-4,169-380005-5 | Beechcraft A23A Musketeer Custom III | CABIN HEAT CONTROL CABLE (47-1/4”),Title,Default Title,,,,,N16TH--169-380005-5--Y6BDPABIAKOW4CSD9LZ6ZQ,,,1,not stocked
169-380007-5-beechcraft-a23a-musketeer-custom-iii-mixture-control-cable,169-380007-5 | Beechcraft A23A Musketeer Custom III | MIXTURE CONTROL CABLE,Title,Default Title,,,,,N16TH--169-380007-5--XBPHRGMSBVHAYH7GL3L5ZD,,,1,not stocked
169-130005-2-beechcraft-a23a-musketeer-custom-iii-aileron-assembly-rh-damage-in-trailing-edge_see-photos,169-130005-2 | Beechcraft A23A Musketeer Custom III | AILERON ASSEMBLY RH DAMAGE IN TRAILING EDGE_SEE PHOTOS,Title,Default Title,,,,,N16TH--169-130005-2--UCLVUAOKPLCXH1ZNNO8NUY,,,1,not stocked
